ENSXETG00000020444,ENSXETG00000034361,ENSXETG00000027596,ENSXETG00000016681,ENSXETG00000040503,ENSXETG00000016572,ENSXETG00000009516,ENSXETG00000001339,ENSXETG00000011825,ENSXETG00000014751,ENSXETG00000039639,ENSXETG00000000488,ENSXETG00000016385,ENSXETG00000027751,ENSXETG00000007390,ENSXETG00000024684,ENSXETG00000046081,ENSXETG00000017402,ENSXETG00000023384,ENSXETG00000005347,ENSXETG00000012164,ENSXETG00000002665,ENSXETG00000010814,ENSXETG00000008512,ENSXETG00000011722,ENSXETG00000002770,ENSXETG00000014251,ENSXETG00000006391,ENSXETG00000009903,ENSXETG00000007404,ENSXETG00000011651,ENSXETG00000014771,ENSXETG00000010361,ENSXETG00000034500,ENSXETG00000044879,ENSXETG00000027727,ENSXETG00000015926,Terms
,,,,,,,24731717,,,,,,,,,,,,,,,8107717,,,,,,,,,,,,,,,polymorphic
,,,,,,"31694956,32269123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avian-origin
,,,,,,31694956,,,,,,,,,,,,,,,30005605,,,1729596,,,,,,,,8554614,,,,,immunologically
,,,,,,31608791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chanp32a-x1
,,,,,,31676851,,,,,,33140506,,,,,,,,,,,,31676851,,,27809902,,,,,,,,,,buffalo
,,,,,,27404450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bmaa
,,,,,,27404450,,,,20932480,,,,,,,,,,,,,,,,,,,,,,,,,,,gsk3
,,,,,,27404450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recycle
,,,,,,32269123,,,,9756848,,,,,26515131,,19095005,,,,,,,,,,18627462,,,,,,,,,,trimeric
,,,,,,24965446,,,,28712728,,,,,,,,,,,,,,,,,,,,35013429,,,,,,,irf3
,,,,,,24965446,,,,,,,,,,,,,,16449382,,,,,,,26465331,,,,,,15452064,,,,gapdh
,,,,,,33916053,,,,,,,,,,,,,,,,,,33916053,,,,,,,,,33916053,,,,uvb
,,,,,,31938151,,,,,,,30717652,,,,,,,,29235198,,,,,,,,,,,,,,,,auc
,,,,,,31938151,,,,,,25188325,,,,,,,,,,,,,,,32628683,,,,,20873783,15371445,,,,chemotherapeutic
,,,,,,25825233,,,,,,,,,17519572,,,,,,,,,29702669,,,,,,,,,,,,,immunogenic
,,,,,,31823891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mir-21a-5p
,,,,,,,29547667,,,,,,,,,,,,34306096,,,,,,,,,,,28666451,,28391163,,,,,osteoarthritis
,,,,,,,34573275,,,,,28381877,,,,,,,,,,,,,,,25202477,,,,,,,,,,single-nucleotide
,,,,,,,,,,,12944466,,30858501,,,,,,,,,,,,,,,,,,,,,,,,nih
,,,,,,,"12960062,12063187",,,,,,30185885,,,,,,,,,,,,,,,,,,,15105503,,,,15539428,modulators
,,,,,,,12952927,,,,,,,,,,,,,,,,,,,,,,,32636874,,30655626,,,,,excretion
,,,,,,,31583475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dm2
,,,,,,,31583475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mir-103b
,,,,,,,34656743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multi-lumbar
,,,,,,,23742632,,,,,,,,"17873332,18097506",,,,,,,,,,,,,,,,,,,,,,castration
,,,,,,,21911385,,,,,,29715315,,,,,,,,,,28781166,,,,,,,,,22450240,,,,,displacement
,,,,,,,31576248,,,,,,,,,,,,,,,,,,,,"20003296,33920578",,34938367,,,,,,,,pentose
,,,,,,,33574092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mir-181a
,,,,,,,34573275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iwnt7bi
,,,,,,,34573275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs6519955
,,,,,,,34573275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,irspo2i
,,,,,,,34573275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rs611744
,,,,,,,32210829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,odontoosteogenic
,,,,,,,29547667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subchondral
,,,,,,,29547667,,,,,,,,,,,,,,,,,,,,"22288420,32708393",,,,,,32476322,,,,supernatant
,,,,,,,"29055040,26650439",,24528242,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwwguidetopharmacologyorg
,,,,,,,"29055040,26650439",,,,,,,,,,"35053257,33871019",,,,,,,,,,,,,,,,,,,,voltage-gated
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rdh11
,,,,,,,,15505029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rmc-1
,,,,,,,,18502750,,,,,,,,,21339484,,,,,,,,,17998332,,,,,,,33592076,,,23508108,rna-mediated
,,,,,,,,19102727,,,,,,,,,,,,,,,,,,,,,,25907681,,11877442,,,,,müller
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8188254,,,,,pseudogene
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basigin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h-k-atpase
,,,,,,,,,30733281,,,,,,"17965014,19114711",,,,,,,,,,,,19824013,,,,,,,,,,aspartyl
,,,,,,,,,30733281,,,,,,,,,,32183175,,,,,,,21285374,,,,,,17141802,,,,19481530,enigmatic
,,,,,,,,,30733281,,,,,,26515131,,,,,,25693797,,,,,,16534748,,,,,18024958,,,,,golgi
,,,,,,,,,28270566,,,,,,,,,,,,,,,,,,,,,,,21562855,,,,,pyramidal
,,,,,,,,,24284412,,,,,,"10781099,18524908,30890756,23418567",,,,,,,,,,,,,,,,,,,,,,amyloidogenic
,,,,,,,,,,16239143,,,26744461,,,,,,,,31797905,,,"18775702,25678563",,,,,,,,,,,,,downregulates
,,,,,,,,,,22416126,,,,,,,,,,,19114004,,,,,,19114004,,,,,,"22163185,29955171",,,,invertebrate
,,,,,,,,,,"22416126,22966205,28712728,35886974",,,,,,,,,,,,,,,,,,,,,,,,,,,neat1
,,,,,,,,,,"22416126,9756848",,,,,,,,,,,32543048,,,,,,,,,,,,,,,,heterodimers
,,,,,,,,,,"30270045,28712728",,,,,,,,,,,,,,,,,,,,,,,,,,,cgas
,,,,,,,,,,30270045,,,,,,,,,,,,,,,,,,,,,,,,,,,capsid
,,,,,,,,,,9393982,,,,,,,,,,,,,,,,,15316019,,,,,,,21151342,,,inversion
,,,,,,,,,,"15140795,11897684",,,,,,,,,,,,,,,,,,,,,,,,,,,p54nrbnono
,,,,,,,,,,"8355702,16767080,28436273,33476259",,,,,,,,,,,,,,,,,,,,,,,,,,,octamer-binding
,,,,,,,,,,8355702,,,,,,,,,,,,,25555158,,,,,,,,,,,,,,duplex
,,,,,,,,,,8626664,,,,,,20218812,,,,,,2050125,,,,,,,,,,,,,,10594042,erythropoiesis
,,,,,,,,,,11259580,,,,,,,,,,,,,,,,,,,,,,,,,,18248177,trs
,,,,,,,,,,"11259580,21680841",,,,,,,,,,,,,,,,,,,,,,,,,,,sin3a
,,,,,,,,,,12403470,,,,,,,,,,,,,,,,,27110489,,,,,,14622290,15722347,,,cross-reactivity
,,,,,,,,,,15590677,,,,,,,,,,,,,21516107,,,,,,,15254228,,,33592076,,,,heteromeric
,,,,,,,,,,17965020,,,,,,,,,,,,,,,,,,,,,,,,,,,mnks
,,,,,,,,,,20454556,,,,,,,,,,,,,,,,,,,,,,,,,,,tuberculosis
,,,,,,,,,,20454556,,,,,,,,,,,,,,29724888,,,,,,,,,,,,,caspase-8
,,,,,,,,,,20932480,,,,,,,,,,,,,,,,,,,,,,,,,,,cd45
,,,,,,,,,,"25765647,33729478",,,,,,,,,,,,,,,,,,,,,,,32882370,,,,mislocalization
,,,,,,,,,,28712728,,,,,,,,,,,,,,,,,,,,,,,,,,,hdp-rnp
,,,,,,,,,,31981477,,,,,,,,,,,,,,,,,,,,34491544,,,,,,,msup6supa
,,,,,,,,,,31981477,,,,,,,,,,,,31732577,,,,,,,,,,,,,,19481530,demethylation
,,,,,,,,,,32116744,,,,,,,,,,,,,,,,,33597172,,,,,16102003,,,,,colonization
,,,,,,,,,,32116744,,,,,,,,,,,,,,,,,"31620020,33688012",,,,,,,,,,microbiota
,,,,,,,,,,34810232,,26220330,,,,,,,23009842,,,,,,,,,,,,,,,,,,spin
,,,,,,,,,,19253283,,,,,,,,,19253283,,,,,29898807,,,,,,,,,,,,,myoblast
,,,,,,,,,,32294980,,,,,,,,,,,,,,32294980,,,,,,,,,,,,,rutin
,,,,,,,,,,15576338,,,,,,,,,,,23842751,,,,,,27634466,,,,,,,,,,preferential
,,,,,,,,,,25326457,,,,,,32549918,,33240452,,33764077,,,,,,,,,,,,,,,,,silac-based
,,,,,,,,,,22669741,,,,,,,,,,,,,,,,19131338,,,,,,,,,,"16189181,23132854",ligand-bound
,,,,,,,,,,,,,,,,,,,,,,18760763,,,,,26150413,,,,,,27098988,,,,overproduction
,,,,,,,,,,,12037672,,,,,,,,,,,,,,,,,,,,,,,,,,prb
,,,,,,,,,,,"21509660,17643375",,,,,,,,,,,,,,,17998332,,,,,,,,,,,rnap
,,,,,,,,,,,10364329,,,,,,,,,,,,,,,,,,,,,,,,,,tat1
,,,,,,,,,,,"10393184,10913173",,,,,,,,,,,,,,,,,,,,,,,,,,tat-sf1
,,,,,,,,,,,12065898,,,,,,,,,29530978,,,,,,15960975,,,,,,,,,,,epitope-tagged
,,,,,,,,,,,12944466,,,,,,,,,,,,,,,"10675337,12244100,15705566,9271389",,,,,,,,,,,transactivator
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hcyct1
,,,,,,,,,,,18391197,,,,,,,,,,,,,,,,,,,,,,,,,,taf7
,,,,,,,,,,,,,,,,,,,,,,17936691,28502770,,,,,,,14570900,,27238969,,,,,quaternary
,,,,,,,,,,,,27666310,,,,,,,,,,,,"16360036,20673990",,,,,,,,,15371445,,,,p53-dependent
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cdk-5
,,,,,,,,,,,,27203244,,,,,,,,,,,,25418729,,,,,,,,,,,,,stemprogenitor
,,,,,,,,,,,,"28241067,26220330",,,30890756,,16809425,,,,,,,,,,,,,,,,,,,,potentiation
,,,,,,,,,,,,33140506,,,,,,,,,,,,22967762,,,35164288,,,,,,,,,,ptms
,,,,,,,,,,,,33140506,,,"17873332,18097506",,,,,,,,,,,,,,,,,,,,,16189181,caput
,,,,,,,,,,,,35271667,,,,,33871019,,,,,,,,,,,,,,,,15003625,,,,soma
,,,,,,,,,,,,35271667,,,,,,,,,,,,,,,23796209,,,28367977,,20356456,28592803,,,,citrate
,,,,,,,,,,,,32796722,,,32796722,,,32545553,,,,,,,,,31835328,,,,,,,,,,nanovesicles
,,,,,,,,,,,,34337171,,,,,,,,,,,,,,,,,,,,,,,,,hepaticai
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p42
,,,,,,,,,,,,,26818658,,,,,,,,,,,,,,,,,,,,,,,,dss-induced
,,,,,,,,,,,,,27804976,,,,,,,,,,,,,,,,,,,,,,,,lungfish
,,,,,,,,,,,,,30655546,,,,,,,,,,21516107,,,31227231,,,,,,21776009,,29202712,,,prerequisite
,,,,,,,,,,,,,34944635,,,,,,34944635,,,,,,,,,,,,34944635,,,34944635,,,pvat
,,,,,,,,,,,,,31355153,,,,,,,,,,,,,,34466438,,,,,,,,,,ileishmania
,,,,,,,,,,,,,30858501,,,,,,,,,,,,,,19995576,,,,,"23618867,21850687",31015652,,,,macromolecule
,,,,,,,,,,,,,30347620,,"10781099,15983050,23418567",,,,,,,,,,,,,,,,,,,,,,tangle
,,,,,,,,,,,,,,17239655,,,,,,,,21309041,,,,,,,,,,,,,,,thermosensitivity
,,,,,,,,,,,,,,22837305,,,,,,,,,,,,,,,,,,,,,,,vaspin
,,,,,,,,,,,,,,22837305,,,,,,,"31168311,24169046",,,,,,,,,,,,,,,,intolerance
,,,,,,,,,,,,,,,17873332,,,,21149303,,,,,35455958,,,,,,,,,34955646,,,,testicular
,,,,,,,,,,,,,,,"10526337,17965014,18440095,21752865",,,,,,,,,,,,,,,,,,,,,,furin
,,,,,,,,,,,,,,,"15983050,17965014,19114711",,,,,,,,,,,,,,,,,,,,,,gamma-secretase
,,,,,,,,,,,,,,,21752865,,,,,,,,,,,,,,,,,,,,,,asn170
,,,,,,,,,,,,,,,30459560,,,,,,,,,,,,,,,,,20919932,34976870,,,,lysosome
,,,,,,,,,,,,,,,"30890756,22757692",,,22757692,,,,,,24658151,,,,,,,,,,,,,ca3
,,,,,,,,,,,,,,,30890756,,,,,,,,,,,,,,,,,,,,,,ca1
,,,,,,,,,,,,,,,"23418567,29476059",,,34040028,,,,,,,,,,,,,,,,,,,synaptophysin
,,,,,,,,,,,,,,,,31943339,,,,,,,,,,,,,,,,,,,,,igfl2-as1
,,,,,,,,,,,,,,,,31943339,,,,,,,,,,,,,,,,,,,,,mir-802
,,,,,,,,,,,,,,,,21509594,,33240452,,29157910,16251277,,,,,,,,,,,,,,,,coexist
,,,,,,,,,,,,,,,,20218812,,,,,,,,,,,,,,,,,,,,,mir-150
,,,,,,,,,,,,,,,,,,,,29453425,,,,,,,,,,,,,,,,,vasoactive
,,,,,,,,,,,,,,,,12944371,,,,,,,,,,,31620020,,,,,,,,,,soleus
,,,,,,,,,,,,,,,,,,,,,19114004,,,,,,"19114004,19995576",,,,,,,,,,mansoni
,,,,,,,,,,,,,,,,28613156,,,,,,,,,,,,,,,,,,,,,mast3
,,,,,,,,,,,,,,,,25736597,,,,,,,,29702669,,,32295617,,,,,29518406,,,,,adjuvant
,,,,,,,,,,,,,,,,22617447,,,,,,,,,,,,,,,,,,,,,semaphorin
,,,,,,,,,,,,,,,,,"16809425,31337710",,,,,,,,,,,,,,,,,,,,endoplasmicsarcoplasmic
,,,,,,,,,,,,,,,,,22927069,,,,,,,,,,,,,,,,,,,,cardiogenesis
,,,,,,,,,,,,,,,,,"19095005,31904168,16809425,31337710",,,33731672,,,,,,,,,,,,,,,,,excitability
,,,,,,,,,,,,,,,,,31506724,,,,,,,,,,,,,,,,2852136,,,,aerobically
,,,,,,,,,,,,,,,,,"16809425,32053184",,,,,,,,,,,,,,,,,,,,jmcs
,,,,,,,,,,,,,,,,,"31337710,31315980",,,,,,,,,,,,,,,,,,,,tmd
,,,,,,,,,,,,,,,,,28768491,,,,,,,,,,,,,,,,,,,,sdhb
,,,,,,,,,,,,,,,,,22968445,,"24704991,23079573",,,,26162278,,,,,,,,,,15262146,,,,formalin-fixed
,,,,,,,,,,,,,,,,,31133884,,,,,33361324,,,,,,,,34238312,,,,,,,bioenergetics
,,,,,,,,,,,,,,,,,32053184,,,,,,,,,,,,,,,,,,,,cav3
,,,,,,,,,,,,,,,,,33871019,,,35585045,,,,,,,,,,,,,,,,,er-localized
,,,,,,,,,,,,,,,,,,,,,,33626217,,28249764,,,,,,,,20919932,,,,,acyl
,,,,,,,,,,,,,,,,,,31206022,,,,,,,,,,,,,,,,27911326,,,er-mitochondria
,,,,,,,,,,,,,,,,,,23073781,,,,,,,,19377461,,,,21123651,,,,,,,thr
,,,,,,,,,,,,,,,,,,32918239,33490244,,,,,,,,,,,,,,,,,,mt1
,,,,,,,,,,,,,,,,,,34384932,,,,,,,,,,,30659190,,,,32817651,,,,mfn1
,,,,,,,,,,,,,,,,,,31408947,,,,,,26305539,,,,,,,,,,,,,obese
,,,,,,,,,,,,,,,,,,"31391270,35921115",,,32543048,,,,,,,,,25907681,,,,,,,attenuation
,,,,,,,,,,,,,,,,,,31888678,,,,,,,,,,,,,,,,,,,cort
,,,,,,,,,,,,,,,,,,26668058,,,,,,,,,27228164,,,,,1383159,"31015652,25240600",,,,metabolically
,,,,,,,,,,,,,,,,,,26668058,,,,19731322,26162278,,,,,,,,,23796494,,,,12477726,pathologic
,,,,,,,,,,,,,,,,,,19432400,,,,,,,,,,,,,,,,,,,treg
,,,,,,,,,,,,,,,,,,18802457,,,25479903,,,,,,,,,,,,,,,,neoformans
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rxp
,,,,,,,,,,,,,,,,,,,"15557202,35886053",,,,,31723020,,,,,,,,,,,,,histocompatibility
,,,,,,,,,,,,,,,,,,,"17567946,24704991",,,,,,,,,,,,,,,,,,beta-thymosin
,,,,,,,,,,,,,,,,,,,20883646,,,,,,,,,,,,,,,,,,tmsb4
,,,,,,,,,,,,,,,,,,,24704991,,,,,,,,,,,,,,,,,,beta-thymosins
,,,,,,,,,,,,,,,,,,,29026428,,,,,,,,,,,,,,,,,,araneusi
,,,,,,,,,,,,,,,,,,,11932413,,,,,,,,,,,,,,,,,,rotavirus
,,,,,,,,,,,,,,,,,,,24732964,,,,,,,,,,,,,,,,,,ztb4
,,,,,,,,,,,,,,,,,,,33349268,,,,,32548489,,,,,,"32196615,25929241",,,,,,,pi3kakt
,,,,,,,,,,,,,,,,,,,33490244,,,,,,,,,,,,,,,,,,nec
,,,,,,,,,,,,,,,,,,,34306096,,,,,,,,,,,,,,,,,,knee
,,,,,,,,,,,,,,,,,,,32183175,,,,,,,,,,,,,,,,,,ependymomas
,,,,,,,,,,,,,,,,,,,32183175,35122182,,,,,,,,,,,,,,,,,aggressiveness
,,,,,,,,,,,,,,,,,,,31781249,,,,,,,,,,,,,,,,,,adscs
,,,,,,,,,,,,,,,,,,,30988666,,,,,,,,,,,,,,,,,,qdb
,,,,,,,,,,,,,,,,,,,35370544,,,,,,,,,,,,,,,,,,ger
,,,,,,,,,,,,,,,,,,,23079573,,,,26162278,,,,,,,,,,,,,,ffpe
,,,,,,,,,,,,,,,,,,,35886053,,,,27721687,,,,,,,,,29554571,29117212,35811673,,,tropical
,,,,,,,,,,,,,,,,,,,,33888601,,,,,,,,,,34110282,,,,,,,g3bp1
,,,,,,,,,,,,,,,,,,,,28356383,,,,,,,,,,,,,,,,,micb
,,,,,,,,,,,,,,,,,,,,35122182,,,,,,,28555368,,,,,,,,,,msh3
,,,,,,,,,,,,,,,,,,,,31080378,31797905,,,,,,,,,,,29518406,,,,,cd4supsup
,,,,,,,,,,,,,,,,,,,,28315483,,,,,,,,,,,,,,,,,mpl
,,,,,,,,,,,,,,,,,,,,19864425,,,,,,,,,,,,,,,,,gsvs
,,,,,,,,,,,,,,,,,,,,,31982271,,,,,,,,,,,,,,,,anti-jo1
,,,,,,,,,,,,,,,,,,,,,28321488,,,,,,33688012,,,,,,23716598,,,,anticodon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31692260,23716598",,,31851938,glycerol
,,,,,,,,,,,,,,,,,,,,,"23842751,31797905,23422076",,,,,,,,,,,,,,,,myositis
,,,,,,,,,,,,,,,,,,,,,19114004,,,,,,"19114004,19995576",,,,,,29117212,,,,schistosoma
,,,,,,,,,,,,,,,,,,,,,23842751,,,,,,32295617,,,,,,,,,,tlr4
,,,,,,,,,,,,,,,,,,,,,23842751,,34200738,,,,32295617,,,,,,25119981,,,,immunization
,,,,,,,,,,,,,,,,,,,,,27761515,,,,,,,,,,,,,,,,pink1
,,,,,,,,,,,,,,,,,,,,,34549988,,,,,,,,,,,,,,,,mycoparasitic
,,,,,,,,,,,,,,,,,,,,,34549988,,,,,,,,,,,,"30113774,27098988",,,,fusarium
,,,,,,,,,,,,,,,,,,,,,31819004,,,,,,,,,,,,,,,,ihars2i
,,,,,,,,,,,,,,,,,,,,,24811072,,,,,,"14760707,26150808,32295617",,,,,,,25812137,,,dimorphic
,,,,,,,,,,,,,,,,,,,,,29495482,,,,,,,,,,,,,,,,iba
,,,,,,,,,,,,,,,,,,,,,32906706,,"32550546,32039234",,,,32550546,,,,,,,,,,iarabidopsis
,,,,,,,,,,,,,,,,,,,,,32906706,,"32550546,32039234",,,,32550546,,,,,,,,,,thalianai
,,,,,,,,,,,,,,,,,,,,,,"25482442,16446107,23348515,7592562",,,,,,,,,,,,,,,aminolevulinate
,,,,,,,,,,,,,,,,,,,,,,"31134003,28810712",,,,,,,,,,,,,,,hema
,,,,,,,,,,,,,,,,,,,,,,"24920668,25240868",,,,,,,,,,,,,,,aldimine
,,,,,,,,,,,,,,,,,,,,,,24920668,,,,,,,,,,"15163410,18271751",,,,,predominate
,,,,,,,,,,,,,,,,,,,,,,25240868,,,,,33193631,,,,,,,,,,fluctuation
,,,,,,,,,,,,,,,,,,,,,,,,,,,"33597172,31133003",,,,,,22834699,,,,leakage
,,,,,,,,,,,,,,,,,,,,,,16446107,,,,,,,,,,,,,,,hfe
,,,,,,,,,,,,,,,,,,,,,,"19731322,21252495",,,,,19360125,,,,,12913160,,,,,glutaredoxin
,,,,,,,,,,,,,,,,,,,,,,"19731322,21252495",,,,,,,,,,,,,,,glrx5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nabu
,,,,,,,,,,,,,,,,,,,,,,23348515,,,,,,,,,,,,,,,δat
,,,,,,,,,,,,,,,,,,,,,,23348515,,,,,,,,,,,,,,,δagtg
,,,,,,,,,,,,,,,,,,,,,,17936691,,,,,,,,,,,,,,,phse2
,,,,,,,,,,,,,,,,,,,,,,17936691,,,,,,,,,,,,,,,micromoll
,,,,,,,,,,,,,,,,,,,,,,"28636309,22783226",11302706,,,,,,,,,,,,,,stoichiometry
,,,,,,,,,,,,,,,,,,,,,,30189641,,,,,,,,,,,,,,,ahl
,,,,,,,,,,,,,,,,,,,,,,30189641,,,,,,,,,,,,,,,sphingomonads
,,,,,,,,,,,,,,,,,,,,,,"31134003,27235438",,,,,29433420,,,,,,33841819,,,,cope
,,,,,,,,,,,,,,,,,,,,,,"23666536,17993523",,,,,33920578,,,,,,,,,,rhizosphere
,,,,,,,,,,,,,,,,,,,,,,32269553,,,,,20003296,,,,,,25410248,,,,assimilation
,,,,,,,,,,,,,,,,,,,,,,"27235438,21602352,17993523",,,,,,,,,,,,,,,agrobacterium
,,,,,,,,,,,,,,,,,,,,,,27235438,,,,,,,,,,,,,,,dmer
,,,,,,,,,,,,,,,,,,,,,,27235438,,,,,"26150413,34071222",,,,,,,,,19481530,efflux
,,,,,,,,,,,,,,,,,,,,,,27235438,,,,,"32817453,26150413",,,,,18271751,32817453,,,,hypersensitivity
,,,,,,,,,,,,,,,,,,,,,,21602352,,,,,,,,,,,,,,,δrira
,,,,,,,,,,,,,,,,,,,,,,21602352,,,,,28367141,,,,,,,,,,siderophore
,,,,,,,,,,,,,,,,,,,,,,33780465,,,,,,,,,,,,,,,shibae
,,,,,,,,,,,,,,,,,,,,,,31732577,,,,,,,,,,,,,,,palustrisi
,,,,,,,,,,,,,,,,,,,,,,,15146077,,,,,,,,,,,,,,u12-type
,,,,,,,,,,,,,,,,,,,,,,,21816274,,,,,,,,,,,,,,smd1d2feg
,,,,,,,,,,,,,,,,,,,,,,,"26912367,28781166",,,,,,,,,,,,,,brr2
,,,,,,,,,,,,,,,,,,,,,,,18636101,,,,29890774,,35075790,,,,,,,,social
,,,,,,,,,,,,,,,,,,,,,,,32748085,,,10779346,,,,,,,16987817,,,,posttranslationally
,,,,,,,,,,,,,,,,,,,,,,,32550546,,,,32550546,,,,,,,,,,mrcbs
,,,,,,,,,,,,,,,,,,,,,,,28811544,,,,,,,,,,,,,,sup1asup
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pems
,,,,,,,,,,,,,,,,,,,,,,,,16564677,,,,,,,,,,,,,pitk
,,,,,,,,,,,,,,,,,,,,,,,,18775702,,,,,,,,,,,,,p30
,,,,,,,,,,,,,,,,,,,,,,,,22967762,,28302723,,,,,,,,,,,oga
,,,,,,,,,,,,,,,,,,,,,,,,23825951,,,,,,,,,,,,,ns1-bp
,,,,,,,,,,,,,,,,,,,,,,,,"23825951,8107114",,,,,,,,,,,,,hnrnps
,,,,,,,,,,,,,,,,,,,,,,,,25678563,,,,,,,,,,,,,ppia
,,,,,,,,,,,,,,,,,,,,,,,,,,"15705566,9271389",,,,11739746,,,,,,,gal4
,,,,,,,,,,,,,,,,,,,,,,,,28249764,,,,,,,,,,,,,dgat2
,,,,,,,,,,,,,,,,,,,,,,,,35455958,,,,,22025680,7744952,,,,,,16189181,spermatocyte
,,,,,,,,,,,,,,,,,,,,,,,,28324005,,,,,,,,,,,,,agt
,,,,,,,,,,,,,,,,,,,,,,,,28555196,,,"14760707,19824013",,,,,,"19575787,20496099",,,,maldi-toftof
,,,,,,,,,,,,,,,,,,,,,,,,20890123,,,,,,,,,,,,,zf21
,,,,,,,,,,,,,,,,,,,,,,,,32575635,,,,,,,,,,,,,psv
,,,,,,,,,,,,,,,,,,,,,,,,,,12235138,,,,30428365,,,25240600,,,,uninfected
,,,,,,,,,,,,,,,,,,,,,,,,,,14532282,"16534748,17560550,25318674",,,,,,,,,,cytokinesis
,,,,,,,,,,,,,,,,,,,,,,,,,,14532282,,,"30357511,23306908,22025680",,,,,,,,schwann
,,,,,,,,,,,,,,,,,,,,,,,,,,15199122,,,,,,,,,,,menin
,,,,,,,,,,,,,,,,,,,,,,,,,,17998332,,,,,,,,,,,h3-lys4
,,,,,,,,,,,,,,,,,,,,,,,,,,"18838538,23353889",,,,,,,,,,,set1compass
,,,,,,,,,,,,,,,,,,,,,,,,,,23629655,,,,,,,,,,,e2f1
,,,,,,,,,,,,,,,,,,,,,,,,,,"28302723,28584052",,,,,,,,,,,iogti
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sir-21sirt1
,,,,,,,,,,,,,,,,,,,,,,,,,,"25281006,32522152",,,,,,,,,,,hcfc1a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,isgylation
,,,,,,,,,,,,,,,,,,,,,,,,,,,15316019,,,,,,18633122,,,,pseudomonas
,,,,,,,,,,,,,,,,,,,,,,,,,,,15316019,,,,,,,,,,adp-ribosylated
,,,,,,,,,,,,,,,,,,,,,,,,,,,"16525935,17449658,28267607",,,,,,19575787,,,,accession
,,,,,,,,,,,,,,,,,,,,,,,,,,,"16525935,28685837",,,25741220,,,,,,,gallus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eif2alpha
,,,,,,,,,,,,,,,,,,,,,,,,,,,18627462,,,,,,,,,,zymocin
,,,,,,,,,,,,,,,,,,,,,,,,,,,"18627462,35817801",,,,,,,,,,dph1
,,,,,,,,,,,,,,,,,,,,,,,,,,,10428815,,,,,,,,,,fusidic
,,,,,,,,,,,,,,,,,,,,,,,,,,,10428815,,,8631310,,,"16519677,19424157,23604074",,,,polysomes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,los1-1
,,,,,,,,,,,,,,,,,,,,,,,,,,,17560550,,,,,,,,,,ef-2a
,,,,,,,,,,,,,,,,,,,,,,,,,,,22987813,,,,,,,,,,p-eef2
,,,,,,,,,,,,,,,,,,,,,,,,,,,32448582,,,,,,,,,,skim
,,,,,,,,,,,,,,,,,,,,,,,,,,,32448582,,,,,,,,,,graze
,,,,,,,,,,,,,,,,,,,,,,,,,,,"32448582,31133003",,,,,,29879216,17098851,,,sativa
,,,,,,,,,,,,,,,,,,,,,,,,,,,19995576,,,,,,,,,,emf
,,,,,,,,,,,,,,,,,,,,,,,,,,,"35303100,25555378,22615881",,,,,,,,,,aedes
,,,,,,,,,,,,,,,,,,,,,,,,,,,25555378,,,,,,,,,,aealrack1
,,,,,,,,,,,,,,,,,,,,,,,,,,,19627569,,,,,,11976098,,,,dinoflagellate
,,,,,,,,,,,,,,,,,,,,,,,,,,,"22288420,28972996,29228011",,,,,,31692260,,,,secretomes
,,,,,,,,,,,,,,,,,,,,,,,,,,,17449658,,,,,,,,,,emersonii
